Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
54ES4 - Proyecto I - Sesion 01,08/10/2026,8:00 PM,08/10/2026,10:00 PM,False,Sesión 01 — Presentación del curso y fundamentos de investigación | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co,,False
54ES4 - Proyecto I - Sesion 02,08/24/2026,8:00 PM,08/24/2026,10:00 PM,False,Sesión 02 — Problema y pregunta de investigación | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co,,False
54ES4 - Proyecto I - Sesion 03,08/31/2026,8:00 PM,08/31/2026,10:00 PM,False,"Sesión 03 — Objetivos, justificación, alcances y limitaciones | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co",,False
54ES4 - Proyecto I - Sesion 04,09/07/2026,8:00 PM,09/07/2026,10:00 PM,False,Sesión 04 — Retroalimentación ACA1 · Antecedentes de investigación | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co,,False
54ES4 - Proyecto I - Sesion 05,09/14/2026,8:00 PM,09/14/2026,10:00 PM,False,Sesión 05 — Marco teórico | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co,,False
54ES4 - Proyecto I - Sesion 06,09/21/2026,8:00 PM,09/21/2026,10:00 PM,False,Sesión 06 — Marco conceptual y marco contextual | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co,,False
54ES4 - Proyecto I - Sesion 07,09/28/2026,8:00 PM,09/28/2026,10:00 PM,False,Sesión 07 — Marco legal · citación APA 7 | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co,,False
54ES4 - Proyecto I - Sesion 08,10/05/2026,8:00 PM,10/05/2026,10:00 PM,False,"Sesión 08 — Diseño metodológico: paradigma, enfoque y alcance | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co",,False
54ES4 - Proyecto I - Sesion 09,10/19/2026,8:00 PM,10/19/2026,10:00 PM,False,"Sesión 09 — Población/muestra, técnicas e instrumentos (propuestos) | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co",,False
54ES4 - Proyecto I - Sesion 10,10/26/2026,8:00 PM,10/26/2026,10:00 PM,False,"Sesión 10 — Planeación, viabilidad e integración del anteproyecto | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co",,False
54ES4 - Proyecto I - Sesion 11,11/09/2026,8:00 PM,11/09/2026,10:00 PM,False,Sesión 11 — Integración y evaluación · coevaluación y autoevaluación | Form tutorías: https://forms.gle/oZ8xCYiUo3KEWr1d9 | Coanfitrión: investigacion_especializaciones@cun.edu.co,,False
