Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[HITOS] PROYECTO I · 54ES4 — Inicio · Acuerdo · Meet/grabación AFI,08/10/2026,,08/10/2026,,True,Inicio del periodo. Socializar y diligenciar Acuerdo Pedagógico (distinto del Informe de cierre): https://forms.gle/EPHb7tbrEJTC6ey77. Configurar Meet: coanfitrión OBLIGATORIO investigacion_especializaciones@cun.edu.co; habilitar grabación; invitar SOLO ese correo + estudiantes inscritos; programar toda la serie. Lunes 10/08/2026: clase P1 debe realizarse y grabarse (Coordinación AFI). Registro docente cada sesión/tutoría <24h + link grabación: https://forms.gle/6t6BXqQ2Kwmivpct8. Tutorías estudiante: https://forms.gle/oZ8xCYiUo3KEWr1d9. Meet: https://meet.google.com/omk-woqk-vsj · CDigital: [URL CDigital — campus del curso pendiente]. Encuentros semanales: importar CSV/ICS Encuentros… (no este archivo).,https://meet.google.com/omk-woqk-vsj,False
[HITOS] PROYECTO I · 54ES4 — Quiz — cierre,08/30/2026,,08/30/2026,,True,Cierre Quiz (Cuestionario · 25% · corte 1). El ítem ya está en el libro de calificaciones; verificar que la actividad exista en el aula. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Quiz — límite nota docente,09/07/2026,,09/07/2026,,True,Fecha límite de ingreso de la nota de Quiz (Cuestionario · 25% · corte 1). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — ACA 1 — cierre,10/04/2026,,10/04/2026,,True,Cierre ACA 1 (Tarea · 25% · corte 2). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — ACA 1 — límite nota docente,10/12/2026,,10/12/2026,,True,Fecha límite de ingreso de la nota de ACA 1 (Tarea · 25% · corte 2). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — ACA FINAL — cierre,11/08/2026,,11/08/2026,,True,Cierre ACA FINAL (Tarea · 42% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Coevaluación — ventana,11/09/2026,,11/09/2026,,True,Coevaluación (Foro · 4% · corte 3) · ventana 09/11/2026–15/11/2026. Habilitar el foro en CDigital. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Coevaluación — cierre,11/15/2026,,11/15/2026,,True,Cierre Coevaluación (Foro · 4% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — ACA FINAL — límite nota docente,11/16/2026,,11/16/2026,,True,Fecha límite de ingreso de la nota de ACA FINAL (Tarea · 42% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Autoevaluación — ventana,11/16/2026,,11/16/2026,,True,Autoevaluación (Cuestionario · 4% · corte 3) · ventana 16/11/2026–22/11/2026. Habilitar la actividad en CDigital. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Autoevaluación — cierre,11/22/2026,,11/22/2026,,True,Cierre Autoevaluación (Cuestionario · 4% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Autoevaluación — límite nota docente,11/22/2026,,11/22/2026,,True,Fecha límite de ingreso de la nota de Autoevaluación (Cuestionario · 4% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Coevaluación — límite nota docente,11/22/2026,,11/22/2026,,True,Fecha límite de ingreso de la nota de Coevaluación (Foro · 4% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Recordatorio registro sesiones AFI (mitad periodo),10/05/2026,,10/05/2026,,True,Práctica continua: registrar CADA sesión/tutoría dentro de 24h (solo docente) con enlace de grabación: https://forms.gle/6t6BXqQ2Kwmivpct8. Tutorías estudiante: https://forms.gle/oZ8xCYiUo3KEWr1d9. No hay un evento por clase aquí — el checklist post-clase está en cada guión.,,False
[HITOS] PROYECTO I · 54ES4 — Recepción máxima de trabajos,11/14/2026,,11/14/2026,,True,Fecha máxima de recepción de trabajos (portal/carga académica). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Cierre de notas,11/22/2026,,11/22/2026,,True,Cierre oficial y registro de TODAS las calificaciones en CDigital. Fecha válida Coordinación AFI. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] PROYECTO I · 54ES4 — Informe de cierre Proyecto I/II,11/25/2026,,11/25/2026,,True,"Informe Final de Curso (plazo orientativo: 3 días hábiles tras cierre). Form Informe de cierre: https://docs.google.com/forms/d/e/1FAIpQLSej5yUK3b0p617XhccE7GZrm2C4ra3lk-hzfPTx43uJM_xAmg/viewform · Acuerdo Pedagógico (inicio, otro form): https://forms.gle/EPHb7tbrEJTC6ey77",,False
