Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
54448 - Trabajo de Grado 2 - Sesion 01,08/10/2026,5:00 PM,08/10/2026,6:00 PM,False,Sesión 01 — Presentación del curso · docente · estudiantes · ACAs,,False
54448 - Trabajo de Grado 2 - Clase autonoma (Asunción de la Virgen) (autónoma),08/17/2026,5:00 PM,08/17/2026,6:00 PM,False,Clase autónoma — Asunción de la Virgen | Actividad en CDigital.,,False
54448 - Trabajo de Grado 2 - Sesion 02,08/24/2026,5:00 PM,08/24/2026,6:00 PM,False,"Sesión 02 — Pregunta, objetivos y título provisional",,False
54448 - Trabajo de Grado 2 - Sesion 03,08/31/2026,5:00 PM,08/31/2026,6:00 PM,False,Sesión 03 — Estructura del documento / artículo de avance,,False
54448 - Trabajo de Grado 2 - Sesion 04,09/07/2026,5:00 PM,09/07/2026,6:00 PM,False,Sesión 04 — Antecedentes y referentes (Fase I),,False
54448 - Trabajo de Grado 2 - Sesion 05,09/14/2026,5:00 PM,09/14/2026,6:00 PM,False,Sesión 05 — Marco teórico — avance,,False
54448 - Trabajo de Grado 2 - Sesion 06,09/21/2026,5:00 PM,09/21/2026,6:00 PM,False,Sesión 06 — Marco conceptual y contextual,,False
54448 - Trabajo de Grado 2 - Sesion 07,09/28/2026,5:00 PM,09/28/2026,6:00 PM,False,Sesión 07 — Diseño metodológico (propuesto),,False
54448 - Trabajo de Grado 2 - Sesion 08,10/05/2026,5:00 PM,10/05/2026,6:00 PM,False,Sesión 08 — Instrumentos y plan de análisis (propuestos),,False
54448 - Trabajo de Grado 2 - Clase autonoma (Día de la Raza) (autónoma),10/12/2026,5:00 PM,10/12/2026,6:00 PM,False,Clase autónoma — Día de la Raza | Actividad en CDigital.,,False
54448 - Trabajo de Grado 2 - Sesion 09,10/19/2026,5:00 PM,10/19/2026,6:00 PM,False,Sesión 09 — Integración del avance · correcciones,,False
54448 - Trabajo de Grado 2 - Sesion 10,10/26/2026,5:00 PM,10/26/2026,6:00 PM,False,Sesión 10 — Socialización de avances,,False
54448 - Trabajo de Grado 2 - Clase autonoma (Todos los Santos) (autónoma),11/02/2026,5:00 PM,11/02/2026,6:00 PM,False,Clase autónoma — Todos los Santos | Actividad en CDigital.,,False
54448 - Trabajo de Grado 2 - Sesion 11,11/09/2026,5:00 PM,11/09/2026,6:00 PM,False,Sesión 11 — Cierre del avance · preparación para TG3,,False
54448 - Trabajo de Grado 2 - Clase autonoma (Independencia de Cartagena) (autónoma),11/16/2026,5:00 PM,11/16/2026,6:00 PM,False,Clase autónoma — Independencia de Cartagena | Actividad en CDigital.,,False
