Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[HITOS] TRABAJO DE GRADO 3 · 54467 — Sesión 01 · Encuadre / Syllabus (acuerdo: confirmar),08/11/2026,,08/11/2026,,True,"Sesión 01 = encuadre: se presenta el curso, el Docente, los estudiantes y las ACAs; no se dicta tema (el contenido arranca en la Sesión 02). Socializar Syllabus y reglas del curso. Acuerdo pedagógico: PENDIENTE CONFIRMAR canal/formulario con Coordinación (NO asumir el form AFI de Proyecto I/II). Meet: [URL Meet — mismo enlace toda la serie · TRABAJO DE GRADO 3] · CDigital: [URL CDigital — campus del curso pendiente] · Evaluación (libro de calificaciones CDigital): Corte 1 30% = Quiz 1 6% + Parcial 1 24% · Corte 2 30% = Quiz 2 9% + Parcial 2 21% · Corte 3 40% = ACA Final 32% + Quiz 3 4% + Autoevaluación 2% + Coevaluación 2%. Los quices y parciales son cuestionarios, la ACA Final es una tarea y la coevaluación es un foro: verificar que las actividades existan en el aula. Encuentros semanales: importar CSV/ICS Encuentros… (no este archivo).",[URL Meet — mismo enlace toda la serie · TRABAJO DE GRADO 3],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Quiz 1 — cierre,08/25/2026,,08/25/2026,,True,Cierre Quiz 1 (Cuestionario · 6% · corte 1). El ítem ya está en el libro de calificaciones; verificar que la actividad exista en el aula. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Quiz 1 — límite nota docente,09/01/2026,,09/01/2026,,True,Fecha límite de ingreso de la nota de Quiz 1 (Cuestionario · 6% · corte 1). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Parcial 1 — cierre,09/15/2026,,09/15/2026,,True,Cierre Parcial 1 (Cuestionario · 24% · corte 1). El ítem ya está en el libro de calificaciones; verificar que la actividad exista en el aula. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Parcial 1 — límite nota docente,09/22/2026,,09/22/2026,,True,Fecha límite de ingreso de la nota de Parcial 1 (Cuestionario · 24% · corte 1). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Quiz 2 — cierre,09/29/2026,,09/29/2026,,True,Cierre Quiz 2 (Cuestionario · 9% · corte 2). El ítem ya está en el libro de calificaciones; verificar que la actividad exista en el aula. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Quiz 2 — límite nota docente,10/06/2026,,10/06/2026,,True,Fecha límite de ingreso de la nota de Quiz 2 (Cuestionario · 9% · corte 2). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Parcial 2 — cierre,10/13/2026,,10/13/2026,,True,Cierre Parcial 2 (Cuestionario · 21% · corte 2). El ítem ya está en el libro de calificaciones; verificar que la actividad exista en el aula. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Parcial 2 — límite nota docente,10/20/2026,,10/20/2026,,True,Fecha límite de ingreso de la nota de Parcial 2 (Cuestionario · 21% · corte 2). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Quiz 3 — cierre,10/27/2026,,10/27/2026,,True,Cierre Quiz 3 (Cuestionario · 4% · corte 3). El ítem ya está en el libro de calificaciones; verificar que la actividad exista en el aula. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Quiz 3 — límite nota docente,11/03/2026,,11/03/2026,,True,Fecha límite de ingreso de la nota de Quiz 3 (Cuestionario · 4% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Autoevaluación — ventana,11/10/2026,,11/10/2026,,True,Autoevaluación (Cuestionario · 2% · corte 3) · ventana 10/11/2026–22/11/2026. Habilitar la actividad en CDigital. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Coevaluación — ventana,11/10/2026,,11/10/2026,,True,Coevaluación (Foro · 2% · corte 3) · ventana 10/11/2026–22/11/2026. Habilitar el foro en CDigital. CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — ACA Final — cierre,11/14/2026,,11/14/2026,,True,Cierre ACA Final (Tarea · 32% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — ACA Final — límite nota docente,11/22/2026,,11/22/2026,,True,Fecha límite de ingreso de la nota de ACA Final (Tarea · 32% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Autoevaluación — cierre,11/22/2026,,11/22/2026,,True,Cierre Autoevaluación (Cuestionario · 2% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Autoevaluación — límite nota docente,11/22/2026,,11/22/2026,,True,Fecha límite de ingreso de la nota de Autoevaluación (Cuestionario · 2% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
[HITOS] TRABAJO DE GRADO 3 · 54467 — Coevaluación — cierre,11/22/2026,,11/22/2026,,True,Cierre Coevaluación (Foro · 2% · corte 3). CDigital: [URL CDigital — campus del curso pendiente],[URL CDigital — campus del curso pendiente],False
