Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 01,08/11/2026,5:00 PM,08/11/2026,6:00 PM,False,Sesión 01 — Presentación del curso · docente · estudiantes · ACAs,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 02,08/18/2026,5:00 PM,08/18/2026,6:00 PM,False,"Sesión 02 — Formulación de pregunta, objetivos y título",,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 03,08/25/2026,5:00 PM,08/25/2026,6:00 PM,False,Sesión 03 — Estructura del documento · taller de introducción,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 04,09/01/2026,5:00 PM,09/01/2026,6:00 PM,False,Sesión 04 — Fase I de referentes de investigación,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 05,09/08/2026,5:00 PM,09/08/2026,6:00 PM,False,Sesión 05 — Diseño de instrumento · desarrollo metodológico,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 06,09/15/2026,5:00 PM,09/15/2026,6:00 PM,False,Sesión 06 — Comunidades de práctica y co-creación,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 07,09/22/2026,5:00 PM,09/22/2026,6:00 PM,False,Sesión 07 — Experiencia creativa · análisis de datos,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 08,09/29/2026,5:00 PM,09/29/2026,6:00 PM,False,Sesión 08 — Fase III de referentes · cierre del marco teórico,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 09,10/06/2026,5:00 PM,10/06/2026,6:00 PM,False,"Sesión 09 — Resultados, discusión y relación con referentes",,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 10,10/13/2026,5:00 PM,10/13/2026,6:00 PM,False,"Sesión 10 — Resumen, palabras clave UNESCO, conclusiones y referencias",,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 11,10/20/2026,5:00 PM,10/20/2026,6:00 PM,False,Sesión 11 — Póster · evidencias · verificación antiplagio,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 12,10/27/2026,5:00 PM,10/27/2026,6:00 PM,False,Sesión 12 — Sustentación ante jurados,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 13,11/03/2026,5:00 PM,11/03/2026,6:00 PM,False,Sesión 13 — Entregables para repositorio institucional,,False
26P04/26V04 - 54450/54466/54467 - Trabajo de Grado 3 - Sesion 14,11/10/2026,5:00 PM,11/10/2026,6:00 PM,False,Sesión 14 — Ajustes finales · seguimiento post-sustentación,,False
26V04 - 54466/54467 - Trabajo de Grado 3 - Sesion 15,11/17/2026,5:00 PM,11/17/2026,6:00 PM,False,Sesión 15 — Cierre administrativo · recepción de entregables,,False
